,0,1
89,1445.195641285204,89.0
90,1433.0236508450523,90.0
91,1421.5073160176632,91.0
92,1411.0461024528556,92.0
93,1400.494807557583,93.0
94,1388.6582698491493,94.0
95,1371.145997513462,95.0
96,1352.4556727989918,96.0
97,1334.7031560662733,97.0
98,1317.0298772965039,98.0
99,1298.1813242364144,99.0
100,1272.441619311352,100.0
101,1252.4056002895393,101.0
102,1234.3926367986396,102.0
103,1216.8817970132507,103.0
104,1200.4358669079134,104.0
105,1184.8354795139328,105.0
106,1168.829208180764,106.0
107,1155.2184460209019,107.0
108,1141.4965174914594,108.0
109,1128.4385326466495,109.0
110,1114.0065536733055,110.0
111,1099.9292676053783,111.0
112,1085.740915081409,112.0
113,1073.0448558617097,113.0
114,1059.572401854019,114.0
115,1047.5653345241242,115.0
116,1035.8603092929495,116.0
117,1023.9005326210047,117.0
118,1011.3324648648626,118.0
119,999.8652516272186,119.0
120,989.4028396472514,120.0
121,979.3358760662301,121.0
122,970.5043967211867,122.0
123,962.0499144446801,123.0
124,953.4452057841005,124.0
125,943.7350084717865,125.0
126,930.6805852784205,126.0
127,918.882258364705,127.0
128,906.1467819533807,128.0
129,895.1772501869538,129.0
130,881.3255420811562,130.0
131,870.753739817131,131.0
132,860.4882899459786,132.0
133,851.609786636597,133.0
134,842.7658400989565,134.0
135,834.2916206027876,135.0
136,823.7439249559435,136.0
137,813.3805939004657,137.0
138,800.3136840085417,138.0
139,790.53854978883,139.0
140,782.7154548972713,140.0
141,775.0681186064426,141.0
142,767.1689703243634,142.0
143,760.0318735887258,143.0
144,752.7050805371333,144.0
145,746.3962904816563,145.0
146,740.6350944110604,146.0
147,735.4201778664312,147.0
148,729.9766035342952,148.0
149,725.4147580625155,149.0
150,721.0869142754889,150.0
151,717.8675599983002,151.0
152,714.9851157664318,152.0
153,712.4174474936973,153.0
154,709.770729166286,154.0
155,707.4169148392281,155.0
156,705.2656570990525,156.0
157,703.720727121924,157.0
158,702.6913925612209,158.0
159,702.103051863573,159.0
160,701.8171777858365,160.0
161,701.9117474629186,161.0
162,702.4162785811634,162.0
163,703.3049915245755,163.0
164,704.5974600969386,164.0
165,706.40595034382,165.0
166,708.8110433357947,166.0
167,711.5079746291838,167.0
168,714.7336174841706,168.0
169,718.2694523570071,169.0
170,722.3889006847267,170.0
171,726.7381875862559,171.0
172,731.9351802324381,172.0
173,737.3539377050233,173.0
174,744.0463572509541,174.0
175,751.5760746403569,175.0
176,760.6622225917465,176.0
177,770.134747024222,177.0
178,779.4028159010776,178.0
179,787.6247626301832,179.0
180,797.6732178602334,180.0
181,807.824916360558,181.0
182,818.8205993224475,182.0
183,827.8718688699246,183.0
184,837.3799816888893,184.0
185,846.6868249740837,185.0
186,856.7097540714093,186.0
187,867.5958581157105,187.0
188,879.0793910207907,188.0
189,891.3173259143543,189.0
190,903.5256398380925,190.0
191,915.4558852731543,191.0
192,928.035999681713,192.0
193,940.7340613813751,193.0
194,954.2148591623511,194.0
195,969.2035571681166,195.0
196,985.8251835349784,196.0
197,1003.2155020403611,197.0
198,1021.9961211620308,198.0
199,1040.988212883081,199.0
200,1060.2115641802698,200.0
201,1077.6429678631623,201.0
202,1095.2746020402244,202.0
203,1110.5502925434484,203.0
204,1125.540598750622,204.0
205,1139.7340300562025,205.0
206,1153.3144642989137,206.0
207,1167.0452491013896,207.0
208,1180.9901598235722,208.0
209,1194.3340167038202,209.0
210,1207.66107811795,210.0
211,1220.3948304513033,211.0
212,1233.6519095100944,212.0
213,1247.3862806104873,213.0
214,1261.8312240484704,214.0
215,1276.9170428336884,215.0
216,1292.0516739996424,216.0
217,1308.6172384924796,217.0
218,1326.2798218537905,218.0
219,1344.5926741790022,219.0
220,1364.0057583353396,220.0
221,1385.7326155854869,221.0
222,1409.8753349480712,222.0
223,1435.6454954998085,223.0
224,1462.7496653198405,224.0
225,1492.0679828872348,225.0
226,1524.556895222662,226.0
227,1556.549186775663,227.0
228,1588.4694080431127,228.0
229,1618.3996188516041,229.0
230,1648.6231958335475,230.0
231,1678.150021689475,231.0
232,1709.5364275991658,232.0
233,1740.461214915191,233.0
234,1774.8985308584308,234.0
235,1813.6380191442447,235.0
236,1855.2391867317563,236.0
237,1903.5400196857008,237.0
238,1958.671456549016,238.0
239,2010.2753615683266,239.0
240,2056.232193195364,240.0
241,2071.1797703078146,241.0
242,2072.5623994112107,242.0
243,2072.8086166020853,243.0
244,2072.8637624337603,244.0
245,2072.8798911937624,245.0
246,inf,246.0
247,inf,247.0
248,inf,248.0
249,inf,249.0
250,inf,250.0
251,inf,251.0
252,inf,252.0
253,inf,253.0
254,inf,254.0
255,inf,255.0
